"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C4","2u2","","Soldered footprints:0603C","2",""
"C2","1u","","Soldered footprints:0603C","1",""
"C3","100n","","Soldered footprints:0603C","1",""
"D1","BAT20J","","Soldered footprints:SOD-323","1",""
"D2","M4_DIODA","","Soldered footprints:M4_DIODA","1",""
"D3","purple","","Soldered footprints:0402LED","1",""
"DM1","SKU: 700157","","Soldered footprints:PCB","1",""
"K1","U262-161N-4BVC11","","Soldered footprints:U262-161N-4BVC11","1",""
"K2","DC_JACK","","Soldered footprints:DC_JACK","1",""
"K3,K4,K5,K6","HEADER_MALE_2X1","","Soldered footprints:HEADER_MALE_2X1","4",""
"R1,R2","5k1","","Soldered footprints:0603R","2",""
"R3","2k2","","Soldered footprints:0402R","1",""
"S1","SK-3245S-L3-B","","Soldered footprints:SK-3245S-L3-B","1",""
"S2,S3","SS-3292S-L1","","Soldered footprints:SK-3296S-01-L1","2",""
"U1","7805","","Soldered footprints:AS7805ADTR","1",""
"U2","SE5218","","Soldered footprints:SOT-23-5","1",""
